Assignment..Homework..1..Real.,Assignment..Homework..2..Real.,Assignment..Homework..1.Correction..Real.,Assignment..Homework..2.Correction..Real.,Assignment..Homework..3..Real.,Assignment..Homework..3.Correction..Real.,Assignment..Homework..4..Real.,Assignment..Quiz.1..Real.,Assignment..Homework..4.Correction..Real.,Assignment..Homework..5..Real.,Assignment..Homework..5.Correction..Real.,Assignment..Homework..6..Real.,Assignment..Homework..6.Correction..Real.,Assignment..Homework..7..Real.,Assignment..Quiz.2..Real.,Assignment..Computer.Assignment..Real.,Assignment..Homework..7.Correction..Real.,Assignment..Midterm.Exam..Real.,Assignment..Final.Exam..Real.,Course.total..Real.
95,82,-,-,87,-,100,10,-,77,-,97,-,82,9,67,-,30,35,85.67
77,45.3,-,-,66,-,69,6,-,38,-,-,-,37,4,0,-,13.5,25,47.6
93,71.8,-,-,87,-,86,7.5,-,89,-,76.5,-,89,7.5,68,-,24,25,80.48
83,79.5,-,-,69,-,87,9,-,0,-,81,-,40,10,0,-,22,47,58.61
61,0,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,10.17
45,38.5,-,-,34,-,0,8,-,0,-,46,-,0,0,0,-,2,12,20.61
0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,-,-,0
65,0,-,-,-,-,0,9,-,42,-,-,-,81,6,66,-,21,21,44.43
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,72.45,-,-,85,-,99,8.5,-,67,-,96,-,92,9.5,0,-,23.5,34,76.11
91,84.5,-,-,85.5,-,58,7,-,61,-,78,-,57,9,68,-,26,35,73.33
100,82,-,-,77.5,-,73,7,-,0,-,95,-,70,6.5,83,-,16,24,70.44
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,81.45,-,-,75,-,100,9,-,37,-,82,-,62,3,63,-,15.5,20,71.55
31,37.5,-,-,-,-,0,3,-,0,-,57,-,0,3,0,-,3.5,5,17.5
100,73,-,-,76,-,84,7,-,31,-,79,-,76,7,68,-,14,18,70.33
98,89.1,-,-,88,-,95.5,9,-,79,-,85,-,77,7.5,68,-,28,40,84.9
100,84,-,-,100,-,80,8,-,96,-,91,-,84,6.5,63,-,25.5,24,84.67
76,65,-,-,44,-,0,-,-,45,-,61,-,0,-,79,-,23,19,46.82
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,34.5,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,12.08
100,93.5,-,-,100,-,97,9,-,76,-,100,-,82,10,83,-,30,42,91.39
77,62.5,-,-,-,-,0,7,-,0,-,-,-,0,-,68,-,22.5,9,35.65
-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,-,-,0
73,64,-,-,53,-,41,10,-,0,-,-,-,0,4,48,-,25,12,41.25
-,-,-,-,-,-,0,6.5,-,0,-,-,-,0,-,97,-,18,29,30.71
98,83.35,-,-,72.5,-,85.6,4,-,0,-,78,-,77,1,61,-,4.5,20,64.99
92.5,67.9,-,-,62,-,76,8.5,-,65,-,88,-,70,7,68,-,17.5,19,71.27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,81,-,-,69,-,96,7.5,-,65,-,64,-,80,7.5,68,-,10,16,73.78
27,14.5,-,-,44,-,0,7.5,-,0,-,22,-,0,3,48,-,17,16,22.11
100,86.65,-,-,89,-,100,9,-,75,-,95,-,73,10,68,-,17.5,22,82.79
95,60,-,-,100,-,90,10,-,46,-,-,-,69,7,68,-,28,11,73
97.5,85.6,-,-,66.5,-,100,7,-,76,-,94,-,69,6,75,-,21,19,79.62
0,0,-,-,-,-,0,-,-,0,-,-,-,0,-,0,-,-,-,0
96.5,75,-,-,88.5,-,100,7,-,47,-,87,-,66,10,68,-,19,18,75.78
95.5,83.3,-,-,87,-,93,7,-,55,-,79.5,-,68,9,63,-,22,15,75.26
100,82.1,-,-,100,-,100,9,-,66,-,94.5,-,79,9.5,68,-,25.5,31,84.96
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
