Assignment..Homework..1..Real.,Assignment..Homework..1.R.Code..Real.,Assignment..Homework..2..Real.,Assignment..Homework..1.Correction..Real.,Assignment..Homework..2.R.Code..Real.,Assignment..Homework..2.Correction..Real.,Assignment..Homework..3..Real.,Assignment..Quiz.1..Real.,Assignment..Homework..3.Correction..Real.,Assignment..Homework..4..Real.,Assignment..Homework..4.Correction..Real.,Assignment..Homework..5..Real.,Assignment..Homework..5.Correction..Real.,Assignment..Quiz.2..Real.,Assignment..Homework..6..Real.,Assignment..Homework..6.R.Code..Real.,Course.total..Real.
113,NA,66.5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,7.5,NA,NA,90.61
93.33,NA,0,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,8.5,NA,NA,51.1
113,NA,80,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9.5,NA,NA,99.77
40.67,NA,0,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,23.23
113,NA,78,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9,NA,NA,98.59
100,NA,58,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,8.5,NA,NA,80.28
70,NA,72,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,8,NA,NA,74.18
109.33,NA,77,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,8,NA,NA,94.52
83.33,NA,75,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,9,NA,NA,81.85
76.33,NA,72.5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6.5,NA,NA,75.74
113,NA,78.5,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,10,NA,NA,98.36
113,NA,76,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,8.5,NA,NA,97.42
90.33,NA,74,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,8.5,NA,NA,83.26
84.33,NA,71,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,8.5,NA,NA,80.2
106.17,NA,56,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,7,NA,NA,82
110,NA,58,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,5.5,NA,NA,85.21
81.67,NA,80,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,6,NA,NA,82
113,NA,76,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,8.5,NA,NA,97.42
91.33,NA,59,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,7,NA,NA,76.21
103.33,NA,67.5,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,89.08
